"","Gender","SeniorCitizen","Partner","Dependents","Tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","sample"
"1726","Female","Yes","No","No",17,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.2,1608.15,"No",TRUE
"1727","Male","No","Yes","No",30,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",49.9,1441.95,"No",TRUE
"1728","Male","No","No","No",31,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",71.05,2168.15,"No",FALSE
"1729","Female","No","No","No",45,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",81.65,3618.7,"No",TRUE
"1730","Male","No","Yes","No",64,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",89.45,5692.65,"No",TRUE
"1731","Male","No","No","No",1,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",59.85,59.85,"Yes",TRUE
"1732","Female","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,"Yes",TRUE
"1733","Male","Yes","Yes","Yes",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Electronic check",99,5969.3,"No",FALSE
"1735","Male","No","No","No",9,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",45.4,418.8,"Yes",TRUE
"1736","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",114.45,8100.55,"No",TRUE
"1738","Female","No","Yes","No",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",44.25,313.45,"No",TRUE
"1739","Female","No","Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",90.55,6130.95,"No",TRUE
"1740","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.9,69.9,"Yes",TRUE
"1742","Male","No","No","No",16,"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",71.4,1212.1,"No",FALSE
"1743","Female","No","No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",87.15,183.75,"Yes",TRUE
"1745","Female","No","Yes","No",41,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.45,4162.05,"No",TRUE
"1747","Female","No","No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",116.45,8013.55,"No",FALSE
"1748","Female","No","Yes","Yes",3,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",84.75,264.85,"Yes",TRUE
"1750","Male","Yes","No","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",110.75,5832,"No",TRUE
"1751","Female","No","No","No",50,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",89.7,4304.5,"No",FALSE
"1752","Male","No","No","No",14,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",89.95,1178.4,"Yes",TRUE
"1753","Male","No","Yes","No",27,"Yes","No","DSL","Yes","No","No","No","No","No","One year","No","Credit card (automatic)",48.7,1421.75,"No",FALSE
"1754","Female","Yes","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",96.6,6827.5,"No",TRUE
"1755","Male","No","No","No",62,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",74.3,4698.05,"No",TRUE
"1756","Female","No","No","No",12,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",54.3,654.5,"No",TRUE
"1757","Female","Yes","No","No",44,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",74.85,3268.05,"No",TRUE
"1758","Male","No","Yes","Yes",54,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)",79.95,4362.05,"No",TRUE
"1761","Male","No","Yes","Yes",50,"Yes","Yes","DSL","No","No","Yes","No","No","No","One year","No","Bank transfer (automatic)",54.9,2614.1,"No",FALSE
"1763","Male","No","Yes","Yes",35,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.65,3161.6,"No",FALSE
"1764","Female","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.4,80.95,"No",TRUE
"1765","Male","No","Yes","Yes",63,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Mailed check",75.7,4676.7,"No",TRUE
"1766","Female","No","Yes","No",58,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",110.65,6526.65,"No",TRUE
"1768","Female","No","Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",115.15,8078.1,"No",FALSE
"1769","Female","No","No","No",63,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","No","Credit card (automatic)",58.55,3503.5,"No",FALSE
"1770","Male","No","Yes","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",93.25,6669.45,"No",FALSE
"1771","Female","Yes","No","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",113.2,4689.5,"Yes",FALSE
"1772","Male","Yes","No","No",13,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.5,1201.15,"Yes",TRUE
"1773","Male","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",79,143.65,"Yes",TRUE
"1775","Male","No","Yes","Yes",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.75,48.75,"No",TRUE
"1776","Male","Yes","No","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",109.05,7108.2,"No",TRUE
"1778","Female","No","No","No",28,"Yes","Yes","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",54.9,1505.15,"No",TRUE
"1780","Female","No","No","No",2,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",91.15,168.5,"No",FALSE
"1782","Male","Yes","Yes","No",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",104.35,6339.45,"No",TRUE
"1783","Female","Yes","No","No",26,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",66.05,1652.4,"No",FALSE
"1784","Male","No","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71.65,71.65,"Yes",TRUE
"1786","Male","No","Yes","Yes",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92.2,6392.85,"No",TRUE
"1787","Female","No","No","No",38,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",84.25,3264.5,"Yes",FALSE
"1788","Female","Yes","Yes","No",42,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",105.2,4599.15,"No",TRUE
"1790","Male","No","Yes","No",54,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.4,1621.35,"No",TRUE
"1791","Female","No","No","No",12,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",78.1,947.3,"Yes",TRUE
"1792","Female","No","Yes","No",44,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Mailed check",61.5,2722.2,"No",TRUE
"1793","Male","No","Yes","Yes",42,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",69.4,3058.3,"No",FALSE
"1795","Female","No","Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",91.05,6293.75,"No",FALSE
"1796","Female","No","Yes","No",19,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Mailed check",89.65,1761.05,"Yes",TRUE
"1797","Female","No","Yes","No",23,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",73.65,1642.75,"No",FALSE
"1800","Female","No","No","No",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.7,973.25,"Yes",TRUE
"1801","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",43.85,43.85,"No",TRUE
"1802","Male","No","No","No",22,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.7,1490.4,"No",TRUE
"1803","Male","No","Yes","Yes",7,"No","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Mailed check",38.55,280,"No",FALSE
"1804","Female","No","No","No",36,"No","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",53.1,1901.25,"No",FALSE
"1806","Male","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Credit card (automatic)",64.45,4720,"No",TRUE
"1808","Female","No","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",76.35,76.35,"Yes",TRUE
"1809","Female","No","No","No",23,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.15,1676.95,"Yes",TRUE
"1810","Male","Yes","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85,2642.05,"Yes",TRUE
"1811","Female","No","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",95.15,6770.85,"No",FALSE
"1812","Female","Yes","No","No",23,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.35,1835.3,"No",TRUE
"1813","Male","No","Yes","No",17,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",96.65,1588.25,"No",TRUE
"1814","Male","No","No","No",1,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.5,75.5,"No",FALSE
"1818","Male","Yes","Yes","No",72,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",98.35,6929.4,"No",FALSE
"1819","Male","No","Yes","Yes",60,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.35,4453.3,"No",TRUE
"1820","Female","No","Yes","Yes",61,"No","No","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",51.35,3244.4,"No",TRUE
"1821","Female","No","Yes","No",6,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.65,323.45,"No",TRUE
"1822","Male","Yes","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",85.3,2661.1,"Yes",TRUE
"1823","Female","No","No","Yes",31,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",86.55,2697.4,"Yes",TRUE
"1824","Male","No","No","No",19,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.85,1424.5,"Yes",TRUE
"1826","Female","No","No","No",32,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",54.2,1739.6,"No",TRUE
"1827","Male","No","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",90.65,5931,"No",TRUE
"1828","Female","No","Yes","Yes",45,"No","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",50.9,2333.85,"No",TRUE
"1830","Male","No","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.85,572.45,"No",TRUE
"1832","Female","Yes","Yes","No",22,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",63.55,1381.8,"No",FALSE
"1833","Male","Yes","Yes","No",57,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",44.85,2572.95,"Yes",FALSE
"1834","Male","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",47.95,47.95,"No",TRUE
"1835","Male","Yes","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.1,45.1,"Yes",TRUE
"1836","Female","No","Yes","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45,45,"No",TRUE
"1837","Male","No","No","No",24,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",96,2122.45,"Yes",TRUE
"1839","Male","Yes","No","No",54,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,4931.8,"No",FALSE
"1841","Male","No","Yes","Yes",65,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",108.65,6937.95,"Yes",TRUE
"1843","Male","No","No","No",45,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",75.95,3273.8,"No",FALSE
"1845","Male","No","Yes","No",59,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",66.4,3958.2,"No",TRUE
"1846","Male","No","No","No",69,"No","No","DSL","No","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",35.75,2492.25,"No",TRUE
"1850","Male","No","No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.55,402.6,"Yes",TRUE
"1851","Female","Yes","Yes","No",47,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",67.45,3252,"No",FALSE
"1852","Female","No","Yes","No",2,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.1,68.75,"Yes",TRUE
"1853","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",46.2,46.2,"Yes",TRUE
"1854","Female","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.15,45.15,"Yes",FALSE
"1855","Male","Yes","No","No",1,"No","No","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",43.3,43.3,"Yes",TRUE
"1857","Female","Yes","No","No",38,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",57.15,2250.65,"Yes",TRUE
"1858","Female","No","Yes","No",65,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Credit card (automatic)",58.9,3857.1,"No",TRUE
"1859","Female","No","Yes","No",19,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.2,1441.1,"Yes",TRUE
"1860","Male","No","No","No",52,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.35,4338.6,"Yes",TRUE
"1862","Female","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.95,45.95,"Yes",TRUE
"1863","Female","Yes","No","No",52,"No","No","DSL","No","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",50.5,2566.3,"No",TRUE
"1865","Female","Yes","Yes","No",26,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",60.7,1597.4,"No",TRUE
"1866","Male","Yes","No","No",48,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",99,4744.35,"No",TRUE
"1867","Female","No","Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.4,6721.6,"No",TRUE
"1868","Female","No","No","No",3,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",83.75,247.25,"Yes",TRUE
"1869","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",44.05,44.05,"No",TRUE
"1871","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.55,45.55,"No",FALSE
"1872","Female","No","Yes","Yes",51,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",93.8,4539.35,"No",TRUE
"1874","Female","No","Yes","Yes",72,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Credit card (automatic)",70.65,5011.15,"No",FALSE
"1875","Female","No","Yes","No",43,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",86.45,3574.5,"No",FALSE
"1876","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",114.1,8086.4,"No",TRUE
"1877","Male","No","Yes","No",47,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",95.2,4563,"No",FALSE
"1878","Male","No","No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.55,6362.35,"No",TRUE
"1880","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.05,70.05,"Yes",TRUE
"1881","Male","No","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86,165.45,"Yes",TRUE
"1882","Male","No","No","No",26,"No","No","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",44.65,1156.55,"No",FALSE
"1883","Male","No","Yes","Yes",29,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",60.2,1834.15,"No",FALSE
"1884","Female","Yes","Yes","No",35,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",100.5,3653.35,"Yes",FALSE
"1885","Male","No","No","No",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",55.45,1477.65,"No",TRUE
"1886","Male","No","Yes","Yes",24,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",70.3,1706.45,"No",TRUE
"1887","Male","No","Yes","Yes",67,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",60.4,3953.7,"No",TRUE
"1888","Female","No","No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",72.65,1194.3,"Yes",TRUE
"1889","Female","No","No","No",23,"Yes","No","DSL","No","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",55.8,1327.85,"No",FALSE
"1890","Male","No","No","No",14,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",31.1,419.7,"No",TRUE
"1892","Female","Yes","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.1,45.1,"Yes",FALSE
"1893","Male","Yes","No","No",4,"No","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",50.95,207.35,"No",TRUE
"1894","Male","No","No","Yes",16,"Yes","Yes","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",69.1,1083.7,"No",TRUE
"1895","Female","No","Yes","No",46,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",43.95,2007.85,"No",FALSE
"1896","Male","No","No","Yes",68,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",86.5,5882.75,"No",TRUE
"1897","Male","No","No","No",38,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",69.95,2657.55,"No",FALSE
"1898","Male","Yes","Yes","No",30,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.4,1527.5,"Yes",FALSE
"1899","Female","Yes","No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",78.95,378.4,"Yes",TRUE
"1900","Male","No","No","No",17,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.95,1612.2,"No",TRUE
"1903","Male","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.6,6441.85,"No",TRUE
"1904","Male","No","No","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",92,266.8,"No",TRUE
"1905","Male","No","No","No",56,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",94.45,5124.6,"Yes",TRUE
"1907","Male","No","No","No",40,"No","No","DSL","No","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",36,1382.9,"No",TRUE
"1908","Female","No","No","No",7,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",78.5,571.05,"No",TRUE
"1911","Female","No","Yes","Yes",5,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",30.5,167.2,"No",TRUE
"1912","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",106.1,7657.4,"No",FALSE
"1914","Female","No","No","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",95.5,6153.85,"No",TRUE
"1915","Female","No","No","No",3,"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",64.6,174.2,"No",TRUE
"1916","Male","No","No","No",24,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",51.1,1269.6,"No",TRUE
"1917","Female","No","No","No",44,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.8,3862.55,"Yes",FALSE
"1918","Female","Yes","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",89.1,6352.4,"No",TRUE
"1919","Male","No","No","No",24,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check",54.95,1348.5,"No",FALSE
"1920","Male","No","No","No",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",50.9,50.9,"Yes",TRUE
"1922","Male","No","Yes","Yes",70,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.95,5931.75,"No",TRUE
"1923","Male","No","Yes","Yes",25,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",60.35,1404.65,"No",TRUE
"1925","Female","Yes","Yes","Yes",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",85.35,1961.6,"No",TRUE
"1926","Female","No","Yes","Yes",59,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",72.1,4194.85,"No",TRUE
"1927","Male","No","Yes","Yes",49,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,4872.45,"Yes",FALSE
"1928","Male","No","Yes","Yes",47,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",107.35,5118.95,"Yes",TRUE
"1930","Male","No","Yes","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",81.05,81.05,"No",TRUE
"1932","Female","No","Yes","No",53,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",111.8,5809.75,"No",TRUE
"1935","Female","No","No","No",3,"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.1,246.5,"Yes",FALSE
"1937","Female","No","Yes","No",51,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",60.5,3145.15,"No",TRUE
"1941","Male","No","No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Electronic check",71.5,4576.3,"No",TRUE
"1942","Male","No","No","No",3,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Mailed check",54.65,189.1,"No",TRUE
"1944","Male","No","No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.8,49.8,"No",TRUE
"1945","Male","No","No","Yes",8,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.5,215.2,"Yes",FALSE
"1947","Male","No","Yes","Yes",55,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",90.4,5099.15,"No",TRUE
"1948","Female","No","No","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",90.25,6385.95,"No",TRUE
"1949","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",80.75,159.45,"Yes",FALSE
"1950","Male","No","Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",104.6,6885.75,"No",TRUE
"1951","Male","No","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",91.85,5940.85,"Yes",TRUE
"1952","Male","No","Yes","No",14,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",50.2,668.85,"No",TRUE
"1953","Female","No","Yes","Yes",20,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.5,1916.2,"No",TRUE
