"","Gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","MonthlyCharges","Churn","sample","FixedCharges","TenureCat.00.06","TenureCat.06.12","TenureCat.12.24","OneYearContract","TwoYearContract","BankTransfer","CreditCard","ECheck"
"1538","Female","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","Yes",78.95,"No",FALSE,45.7499999999991,"0","0","0","0","1","0","0","1"
"1539","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","No",100.85,"Yes",TRUE,12.75,"0","1","0","0","0","0","0","1"
"1540","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","No",50.3,"No",TRUE,15.9,"1","0","0","0","0","0","0","1"
"1541","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Yes",80.3,"No",TRUE,-162.549999999999,"0","0","0","0","0","0","1","0"
"1544","Female","No","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","No",69.95,"Yes",TRUE,-19.6,"1","0","0","0","0","0","0","1"
"1545","Male","No","Yes","No","Yes","No","DSL","No","No","Yes","No","No","No","Yes",50,"No",TRUE,-25.0999999999999,"0","0","0","0","0","0","0","0"
"1546","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",104.75,"No",TRUE,-62.75,"0","0","0","0","1","1","0","0"
"1548","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",107.5,"Yes",TRUE,101.25,"0","0","0","1","0","0","0","1"
"1549","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","Yes","Yes","No","No",85.9,"No",TRUE,51.5500000000002,"0","0","0","0","0","0","0","1"
"1550","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Yes",45.85,"Yes",TRUE,0,"1","0","0","0","0","0","0","0"
"1551","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Yes",80.8,"No",TRUE,-27.6999999999999,"1","0","0","0","0","0","0","1"
"1553","Female","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","No",80.55,"No",TRUE,-25.4499999999998,"0","0","0","0","1","1","0","0"
"1554","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Yes",81.5,"No",TRUE,-71.1999999999998,"0","0","0","0","0","1","0","0"
"1556","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",106.1,"Yes",FALSE,146.450000000001,"0","0","0","1","0","1","0","0"
"1557","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","Yes","Yes","No","No",91.7,"Yes",FALSE,0,"1","0","0","0","0","0","0","1"
"1558","Male","No","No","No","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Yes",67.25,"No",FALSE,25.3,"0","1","0","0","0","0","0","1"
"1559","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Yes",95.6,"Yes",TRUE,26.0500000000002,"0","0","1","0","0","0","1","0"
"1561","Male","No","No","Yes","No","No","DSL","Yes","No","No","Yes","Yes","No","No",45.05,"No",FALSE,33.6500000000001,"0","0","0","1","0","1","0","0"
"1562","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",74.95,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1563","Female","No","Yes","Yes","No","No","DSL","Yes","No","No","Yes","No","No","No",34.65,"No",TRUE,4.05000000000001,"0","1","0","0","0","0","0","0"
"1564","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","No",69.35,"No",FALSE,-15.75,"1","0","0","0","0","0","0","1"
"1565","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes",95.35,"Yes",TRUE,-55.15,"0","1","0","0","0","0","0","1"
"1566","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Yes",81.55,"No",TRUE,24.25,"0","0","0","0","0","0","0","1"
"1567","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","No","Yes","Yes","Yes",75.4,"No",TRUE,51.4499999999998,"0","0","0","0","1","1","0","0"
"1568","Female","No","Yes","No","Yes","No","DSL","No","No","Yes","No","Yes","Yes","Yes",67.8,"No",TRUE,-24.85,"0","1","0","0","0","0","1","0"
"1569","Male","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",111.4,"No",TRUE,-42.3500000000001,"0","1","0","0","0","0","0","1"
"1570","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","No","No","No","No",46.3,"No",TRUE,-55.05,"0","0","1","0","0","0","0","1"
"1573","Female","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No","No",45,"Yes",TRUE,-7.90000000000001,"1","0","0","0","0","0","0","1"
"1574","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","Yes",96.1,"No",TRUE,-125.25,"0","0","0","1","0","0","0","1"
"1576","Male","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","No",99.5,"Yes",TRUE,143.5,"0","0","0","0","0","0","0","1"
"1577","Female","Yes","Yes","No","Yes","No","DSL","No","Yes","Yes","Yes","No","No","Yes",60.65,"No",TRUE,-148.3,"0","0","0","1","0","1","0","0"
"1578","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","No",98.6,"Yes",TRUE,28.7500000000002,"0","0","1","1","0","1","0","0"
"1579","Female","No","No","No","Yes","No","DSL","No","No","No","Yes","Yes","No","Yes",59.5,"Yes",TRUE,-0.550000000000011,"0","1","0","0","0","0","0","0"
"1580","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","Yes","Yes",80.45,"Yes",FALSE,-15.2,"0","1","0","0","0","0","0","1"
"1581","Female","Yes","Yes","No","Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","No",71.7,"No",TRUE,-8.65000000000009,"0","0","1","1","0","1","0","0"
"1582","Male","No","No","No","No","No","DSL","No","Yes","No","Yes","No","No","Yes",36,"No",FALSE,24.15,"0","0","1","0","0","0","0","0"
"1583","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","No","No","No","Yes","No","No",65.2,"No",TRUE,-139.05,"0","0","0","1","0","1","0","0"
"1584","Female","No","Yes","Yes","Yes","Yes","DSL","No","No","No","No","No","No","Yes",48.95,"No",TRUE,-20.45,"1","0","0","0","0","0","1","0"
"1585","Female","Yes","No","No","No","No","DSL","No","Yes","Yes","No","Yes","Yes","Yes",53.5,"No",FALSE,40.4000000000001,"0","0","0","0","1","1","0","0"
"1586","Male","No","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","No",80.45,"No",TRUE,-3,"0","0","0","1","0","0","1","0"
"1587","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes",109.05,"No",FALSE,93.1500000000005,"0","0","0","0","1","1","0","0"
"1589","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Yes",106.8,"No",FALSE,7.94999999999982,"0","0","0","1","0","0","0","1"
"1590","Female","Yes","No","No","Yes","No","DSL","No","Yes","Yes","No","Yes","No","Yes",64.95,"No",TRUE,38.9999999999999,"0","1","0","0","0","0","0","1"
"1593","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",77.95,"Yes",TRUE,110.1,"0","0","0","0","0","0","1","0"
"1596","Male","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes",74.7,"Yes",TRUE,16,"1","0","0","0","0","0","0","1"
"1597","Female","No","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",70.35,"No",TRUE,-20.45,"1","0","0","0","0","0","0","1"
"1598","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Yes",96.9,"No",TRUE,-177.750000000001,"0","0","0","0","1","1","0","0"
"1600","Female","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Yes",80.4,"No",FALSE,89.8500000000004,"0","0","0","0","1","1","0","0"
"1601","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Yes",88.8,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1602","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","Yes",94.65,"No",TRUE,-41.4000000000005,"0","0","0","1","0","0","0","1"
"1603","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Yes",90.25,"Yes",TRUE,47.8499999999999,"0","0","0","0","0","0","0","1"
"1604","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","No","No","Yes","Yes",64.65,"Yes",TRUE,24.7999999999998,"0","0","1","0","0","1","0","0"
"1605","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","No",95.75,"No",TRUE,-95.5,"0","0","0","1","0","0","1","0"
"1607","Male","Yes","Yes","Yes","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes",104.1,"No",FALSE,-47.5,"0","0","0","0","1","0","1","0"
"1608","Male","Yes","Yes","No","Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Yes",89.05,"Yes",TRUE,11.7,"0","0","1","0","0","1","0","0"
"1610","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes",111.55,"No",TRUE,31.3000000000002,"0","0","0","1","0","0","0","1"
"1611","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No","No",60.5,"No",TRUE,35.9499999999998,"0","0","0","0","1","0","1","0"
"1612","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes",90.95,"No",TRUE,-79.8000000000002,"0","0","0","0","1","1","0","0"
"1613","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","No",87.4,"Yes",TRUE,63,"0","0","0","1","0","0","0","1"
"1615","Male","No","Yes","No","No","No","DSL","Yes","Yes","No","Yes","No","Yes","Yes",50.95,"No",TRUE,108.05,"0","0","0","0","1","1","0","0"
"1618","Male","No","No","No","Yes","Yes","DSL","No","No","Yes","Yes","No","No","No",59.45,"No",FALSE,6.5,"0","0","0","0","0","0","0","1"
"1619","Female","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",94.75,"Yes",FALSE,114.35,"0","0","1","0","0","0","0","1"
"1620","Male","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Yes",81.5,"No",TRUE,-70.25,"0","0","0","0","1","0","1","0"
"1621","Female","No","Yes","Yes","No","No","DSL","No","No","No","Yes","No","No","No",29.05,"No",TRUE,-13.35,"1","0","0","0","0","1","0","0"
"1622","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes",86.45,"Yes",FALSE,3.34999999999991,"0","0","0","0","0","0","0","1"
"1623","Female","No","Yes","No","Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","No",70.6,"No",TRUE,-16.5499999999997,"0","0","0","1","0","0","0","0"
"1624","Female","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",97.2,"No",TRUE,-119.35,"0","0","0","0","1","1","0","0"
"1625","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",98.25,"Yes",FALSE,6.35000000000036,"0","0","0","1","0","0","0","1"
"1626","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes",75.75,"Yes",TRUE,-25.85,"0","1","0","0","0","1","0","0"
"1627","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","No","No","No",59.2,"No",TRUE,7.20000000000005,"0","0","1","0","0","1","0","0"
"1628","Male","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes",75.9,"No",TRUE,31.4999999999999,"0","1","0","0","0","0","0","0"
"1629","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes",90.05,"No",TRUE,-74.3000000000002,"0","0","0","0","0","0","0","1"
"1630","Male","No","Yes","No","Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","No",70.95,"No",FALSE,-83.1500000000005,"0","0","0","0","1","1","0","0"
"1631","Male","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",102.6,"No",TRUE,110.4,"0","0","0","0","0","0","0","1"
"1632","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Yes",85.35,"Yes",TRUE,12.5000000000002,"0","0","1","0","0","1","0","0"
"1633","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",106.1,"Yes",TRUE,-9.99999999999909,"0","0","0","1","0","0","1","0"
"1634","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No","No",43.8,"No",TRUE,0,"1","0","0","0","0","0","0","1"
"1635","Male","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","No",59,"No",TRUE,-9.40000000000009,"0","0","0","0","1","0","0","1"
"1636","Female","No","No","No","Yes","No","DSL","No","No","Yes","No","Yes","Yes","Yes",69.95,"No",TRUE,10.6,"1","0","0","1","0","0","0","1"
"1638","Male","No","No","No","No","No","DSL","No","No","No","Yes","No","No","No",29.45,"No",FALSE,39.45,"0","0","0","1","0","0","1","0"
"1639","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Yes",84.4,"No",TRUE,7.54999999999927,"0","0","0","0","1","0","1","0"
"1640","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No","Yes",45.05,"Yes",TRUE,4.75000000000011,"0","0","1","0","0","0","0","1"
"1642","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes",87.1,"No",TRUE,-41.0999999999995,"0","0","0","0","1","1","0","0"
"1644","Male","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Yes",90.35,"No",FALSE,76.3500000000004,"0","0","0","0","0","0","0","1"
"1645","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",109.8,"Yes",TRUE,-145.95,"0","0","0","0","0","0","0","0"
"1646","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes",84.65,"Yes",TRUE,-13.9500000000003,"0","0","0","0","0","0","0","1"
"1647","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","No",65.5,"No",TRUE,-63.1999999999998,"0","0","0","1","0","0","0","0"
"1648","Male","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",79.5,"Yes",FALSE,-6,"0","1","0","0","0","1","0","0"
"1649","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Yes",80.95,"No",TRUE,2.10000000000036,"0","0","0","0","0","0","0","1"
"1650","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","No","No","Yes",56.15,"No",FALSE,-76.7,"0","0","0","0","0","0","0","0"
"1651","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","No",85.8,"Yes",TRUE,0,"1","0","0","0","0","0","0","0"
"1652","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",79.1,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1653","Male","No","Yes","No","No","No","DSL","Yes","No","Yes","No","No","No","No",34.4,"No",TRUE,7.95000000000005,"0","0","1","0","0","0","0","0"
"1656","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","No","No","No","No",44.3,"Yes",FALSE,1.60000000000002,"1","0","0","0","0","0","0","0"
"1657","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","No",90.8,"No",FALSE,108.8,"0","0","0","0","0","0","0","1"
"1659","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","No",105.95,"Yes",TRUE,44.3000000000002,"0","0","0","0","0","0","1","0"
"1660","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","No",70.8,"No",TRUE,45.5500000000002,"0","0","0","0","1","0","1","0"
"1662","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",108.8,"No",TRUE,10.4499999999998,"0","0","0","0","0","1","0","0"
"1663","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",69.75,"Yes",TRUE,-24.15,"1","0","0","0","0","0","0","1"
"1664","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes",94.65,"Yes",TRUE,-14.4000000000005,"0","0","0","0","0","0","0","1"
"1665","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No",96.05,"Yes",FALSE,-18.8000000000002,"0","0","0","0","0","1","0","0"
"1666","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",76.85,"No",TRUE,-28.1,"0","1","0","0","0","0","0","1"
"1669","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes",115.65,"No",TRUE,-78.75,"0","0","0","0","0","0","0","1"
"1670","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",74.6,"No",FALSE,-47.9,"0","1","0","0","0","0","1","0"
"1671","Male","Yes","No","Yes","Yes","No","DSL","No","No","Yes","No","No","No","Yes",50.15,"Yes",TRUE,0,"1","0","0","0","0","0","0","0"
"1672","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",103.15,"No",FALSE,223.4,"0","0","0","1","0","1","0","0"
"1673","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","No",72.1,"No",TRUE,-174.55,"0","0","0","0","1","0","1","0"
"1674","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes",113.6,"Yes",TRUE,-62.6499999999996,"0","0","0","0","0","1","0","0"
"1676","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",78.9,"Yes",TRUE,96.0499999999997,"0","0","0","0","0","0","0","1"
"1677","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Yes",80.15,"No",TRUE,-0.75,"1","0","0","0","0","0","0","1"
"1679","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Yes",105.4,"No",TRUE,-26.1999999999998,"0","0","0","1","0","0","1","0"
"1680","Male","Yes","No","Yes","Yes","No","DSL","No","No","No","No","No","No","Yes",45.75,"No",TRUE,23.95,"0","1","0","0","0","0","0","0"
"1683","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Yes",85.25,"No",TRUE,-54.8999999999996,"0","0","0","0","1","0","0","1"
"1685","Female","No","No","Yes","Yes","Yes","DSL","No","No","No","No","No","No","No",50.15,"No",TRUE,-99.9000000000001,"0","0","0","0","0","0","0","0"
"1686","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",70.55,"No",TRUE,39.0500000000002,"0","0","0","0","0","0","0","1"
"1687","Female","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","No","No","Yes",60.05,"Yes",FALSE,54.8500000000001,"0","0","0","0","0","0","0","1"
"1690","Male","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","No",58.85,"No",TRUE,53.75,"0","1","0","0","0","0","0","0"
"1691","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Yes",97.55,"No",TRUE,-159.45,"0","0","0","0","0","0","1","0"
"1693","Male","No","Yes","Yes","No","No","DSL","No","No","No","No","No","No","Yes",25.25,"No",TRUE,-37,"0","0","0","1","0","0","1","0"
"1694","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No",114.45,"No",TRUE,134.65,"0","0","0","0","1","0","1","0"
"1695","Female","No","No","No","No","No","DSL","No","No","No","No","Yes","No","Yes",34.7,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1696","Male","No","Yes","Yes","Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","Yes",70.7,"No",TRUE,-47.8000000000002,"0","0","0","1","0","0","0","1"
"1697","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes",85.3,"Yes",TRUE,8.90000000000003,"1","0","0","0","0","0","0","1"
"1698","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","No",75.55,"No",FALSE,-51.7999999999993,"0","0","0","0","1","0","1","0"
"1699","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Yes",84.8,"No",TRUE,131.599999999999,"0","0","0","0","1","0","0","1"
"1702","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",102.45,"Yes",FALSE,-146.55,"0","0","0","1","0","0","1","0"
"1703","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Yes",104.4,"Yes",TRUE,7.84999999999991,"0","0","1","0","0","1","0","0"
"1704","Male","No","No","No","No","No","DSL","No","Yes","No","Yes","No","No","Yes",35.65,"No",FALSE,32.95,"0","1","0","0","0","0","0","1"
"1705","Male","No","No","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",99.75,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1706","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","No",90.45,"No",TRUE,70.0500000000002,"0","0","0","0","0","0","0","1"
"1707","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","Yes",97.65,"No",TRUE,5.69999999999982,"0","0","0","0","1","0","1","0"
"1708","Female","Yes","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","No",73.85,"No",TRUE,-25.15,"1","0","0","0","0","0","0","1"
"1709","Male","No","No","No","Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Yes",74.4,"Yes",TRUE,2.09999999999997,"1","0","0","0","0","0","0","1"
"1710","Male","Yes","No","No","Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","Yes",69.1,"No",TRUE,20.9000000000001,"0","0","0","0","1","0","1","0"
"1711","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Yes",82.75,"No",TRUE,4,"1","0","0","0","0","0","0","1"
"1713","Female","No","No","No","Yes","Yes","DSL","No","Yes","No","No","No","No","Yes",55.25,"No",TRUE,17.95,"0","0","0","1","0","0","0","1"
"1714","Male","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No","No",61.35,"No",TRUE,-20.6500000000001,"0","0","0","0","0","1","0","0"
"1715","Male","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","No",76.75,"No",TRUE,14.25,"0","0","0","1","0","0","1","0"
"1717","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes","Yes",54.75,"No",TRUE,0.0500000000000114,"0","1","0","0","0","0","1","0"
"1720","Male","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",107.95,"No",TRUE,-5.25,"1","0","0","0","0","0","0","1"
"1721","Female","Yes","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Yes",83.8,"No",TRUE,-3.90000000000001,"1","0","0","0","0","1","0","0"
"1722","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes",74.25,"Yes",FALSE,-28.6,"0","1","0","0","0","0","1","0"
"1723","Female","No","No","No","No","No","DSL","No","Yes","Yes","No","Yes","Yes","Yes",56.4,"No",TRUE,52.0999999999999,"0","0","0","1","0","0","1","0"
"1725","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No",94.9,"No",TRUE,-11.5000000000001,"1","0","0","0","0","0","0","1"
"1726","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes",94.2,"No",TRUE,6.75,"0","0","1","0","0","0","0","1"
"1727","Male","No","Yes","No","Yes","Yes","DSL","No","No","No","No","No","No","No",49.9,"No",TRUE,-55.05,"0","0","0","0","0","0","0","1"
"1728","Male","No","No","No","Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","Yes",71.05,"No",FALSE,-34.3999999999996,"0","0","0","0","0","0","0","1"
"1729","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","No",81.65,"No",TRUE,-55.5500000000006,"0","0","0","0","1","1","0","0"
"1730","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","No",89.45,"No",TRUE,-32.1500000000005,"0","0","0","1","0","1","0","0"
"1731","Male","No","No","No","Yes","Yes","DSL","No","No","No","No","Yes","No","Yes",59.85,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1732","Female","Yes","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",69.6,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1733","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","No",99,"No",FALSE,-69.6999999999998,"0","0","0","1","0","0","0","1"
"1735","Male","No","No","No","No","No","DSL","No","No","No","No","Yes","Yes","Yes",45.4,"Yes",TRUE,10.2,"0","1","0","0","0","0","0","1"
"1736","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No",114.45,"No",TRUE,-139.849999999999,"0","0","0","0","1","1","0","0"
"1738","Female","No","Yes","No","Yes","No","DSL","No","No","No","No","No","No","Yes",44.25,"No",TRUE,3.69999999999999,"0","1","0","0","0","0","0","0"
"1739","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Yes",90.55,"No",TRUE,154.65,"0","0","0","1","0","1","0","0"
"1740","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",69.9,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"1742","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","Yes",71.4,"No",FALSE,69.6999999999998,"0","0","1","0","0","1","0","0"
"1743","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Yes",87.15,"Yes",TRUE,9.44999999999999,"1","0","0","0","0","1","0","0"
"1745","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",104.45,"No",TRUE,-120.4,"0","0","0","1","0","1","0","0"
"1747","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes",116.45,"No",FALSE,-370.849999999999,"0","0","0","0","1","1","0","0"
"1748","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes",84.75,"Yes",TRUE,10.6,"1","0","0","0","0","1","0","0"
